Imdb_id,Genre,Title,Description,Director,Release_date,Release_Year,Revenue,Runtime,Ratings,Votes
tt0454945,"Comedy,Romance,Sport",She's the Man,"Viola Johnson is in a real jam. Complications threaten her scheme to pose as her twin brother, Sebastian, and take his place at a new boarding school. She falls in love with her handsome roommate, Duke, who loves beautiful Olivia, who has fallen for Sebastian! As if that were not enough, Viola's twin returns from London ahead of schedule but has no idea that his sister has already replaced him on campus.",Andy Fickman,2006-03-17,2006,1.81145795E7,105.0,6.4,61777.5
tt0454848,"Crime,Drama,Mystery",Inside Man,"Bank robber Dalton Russell enters a Manhattan bank, locks the doors and takes hostages, working methodically and without haste. Detective Frazier is assigned to negotiate, but his mind is occupied with the corruption charges he is facing. With an army of police surrounding the bank, the thief, the cop and a high-profile 'fixer' enter high-stakes negotiations.",Spike Lee,2006-03-23,2006,1.36438127E8,129.0,7.449999999999999,143556.0
tt0454841,Horror,The Hills Have Eyes,"Based on Wes Craven's 1977 suspenseful cult classic, The Hills Have Eyes is the story of a family road trip that goes terrifyingly awry when the travelers become stranded in a government atomic zone. Miles from nowhere, the Carter family soon realizes the seemingly uninhabited wasteland is actually the breeding ground of a blood-thirsty mutant family...and they are the prey.",Alexandre Aja,2006-03-10,2006,5.57018565E7,107.0,6.25,68684.0
tt0425210,"Crime,Drama,Mystery",Lucky Number Slevin,"Slevin is mistakenly put in the middle of a personal war between the city’s biggest criminal bosses. Under constant watch, Slevin must try not to get killed by an infamous assassin and come up with an idea of how to get out of his current dilemma. A film with many twists and turns.",Paul McGuigan,2006-02-24,2006,3.93994405E7,110.0,7.6,136648.0
tt0439815,"Comedy,Horror,Sci-Fi",Slither,"A small town is taken over by an alien plague, turning residents into zombies and all forms of mutant monsters.",James Gunn,2006-03-31,2006,3885000.0,95.0,6.4,32337.5
tt0384537,"Adventure,Horror,Mystery",Silent Hill,"The eerie and deserted ghost town of Silent Hill draws a young mother desperate to find a cure for her only child's illness. Unable to accept the doctor's diagnosis that her daughter should be permanently institutionalized for psychiatric care, Rose flees with her child, heading for the abandoned town in search of answers – and ignoring the protests of her husband. It's soon clear this place is unlike anywhere she's ever been. It's smothered by fog, inhabited by a variety of strange beings and periodically overcome by a living 'darkness' that literally transforms everything it touches. As Rose searches for her little girl, she begins to learn the history of the strange town and realizes that her daughter is just a pawn in a larger game.",Christophe Gans,2006-04-21,2006,7.22937265E7,125.0,6.449999999999999,92622.5
tt0317919,"Action,Adventure,Thriller",Mission: Impossible III,"Retired from active duty to train new IMF agents, Ethan Hunt is called back into action to confront sadistic arms dealer, Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.",J.J. Abrams,2006-05-03,2006,2.65615006E8,126.0,6.7,136245.5
tt0382625,"Mystery,Thriller",The Da Vinci Code,"When the curator of the Louvre is found murdered in the famed museum's hallowed halls, Harvard professor, Robert Langdon and cryptographer, Sophie Neve must untangle a deadly web of deceit involving the works of Leonardo da Vinci.",Ron Howard,2006-05-17,2006,4.926802295E8,149.0,6.55,170526.5
tt0376994,"Action,Adventure,Fantasy",X-Men: The Last Stand,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",Brett Ratner,2006-05-24,2006,3.468597775E8,104.0,6.5,205060.5
tt0452594,"Comedy,Drama,Romance",The Break-Up,"Cohabitating couple Gary and Brooke find their once-blissful romance on the rocks when petty spats about lemons and dirty dishes mushroom into an all-out battle for custody of their upscale Chicago condo. An escalating argument ensues as Gary and Brooke continue to live under the same roof, all while cooking up schemes to drive each other off the premises.",Peyton Reed,2006-06-01,2006,1.61839843E8,106.0,5.699999999999999,53616.0
